hello
Results for create_user():
	Mean: 80.2738
	Standard Deviation: 8.161402723150044
	Variance: 66.60849440944095
	Coefficient of Variation: 0.10166956993626868

Results for follow():
	Mean: 78.7218
	Standard Deviation: 6.389779940558898
	Variance: 40.82928768876888
	Coefficient of Variation: 0.08116912901583676

Results for post_tweet():
	Mean: 911.0678
	Standard Deviation: 99.5066337495949
	Variance: 9901.570160176017
	Coefficient of Variation: 0.10921978995371683

Results for unfollow():
	Mean: 78.6597
	Standard Deviation: 6.071291622727146
	Variance: 36.86058196819682
	Coefficient of Variation: 0.07718427126885999

Results for delete_user():
	Mean: 105.2009
	Standard Deviation: 33.51330263246721
	Variance: 1123.1414533353336
	Coefficient of Variation: 0.3185647901535748

create_user	follow	post_tweet	unfollow	delete_user
215	157	331	179	254
122	87	171	94	117
120	82	173	86	124
117	74	173	86	117
115	81	173	85	109
116	80	174	87	117
114	81	166	99	108
116	85	178	87	117
135	82	206	86	120
108	81	159	86	119
109	81	169	87	117
119	78	165	86	111
105	80	154	85	116
115	78	163	87	122
104	87	168	85	114
103	81	159	87	112
103	81	170	87	112
103	73	157	86	119
108	78	168	91	118
107	81	160	104	115
107	80	260	86	113
107	88	244	133	117
105	81	239	86	117
111	80	226	86	118
113	81	233	85	116
105	74	227	84	116
107	80	225	84	118
104	80	233	139	113
104	99	263	87	117
103	73	218	84	116
103	79	214	83	124
102	78	218	85	113
103	78	232	113	110
104	83	222	130	110
105	81	233	85	109
108	86	229	104	114
103	81	242	102	119
104	78	219	86	112
103	81	212	84	114
104	80	220	114	118
103	79	264	83	111
109	77	259	84	118
104	84	266	84	113
103	80	257	106	108
103	81	273	110	110
102	78	264	119	108
103	73	258	84	115
107	74	283	84	115
102	89	279	91	107
103	86	265	85	117
103	73	262	84	117
103	81	262	83	107
103	82	274	84	111
103	81	256	83	118
103	82	262	78	114
103	81	259	84	114
104	91	281	94	117
113	73	256	78	116
102	81	262	89	115
104	79	279	85	110
104	81	313	78	117
103	83	307	78	117
104	79	315	84	124
106	81	304	83	119
88	78	285	82	125
87	80	280	89	113
84	80	272	84	115
87	72	275	82	115
91	80	290	83	107
84	78	271	83	114
84	80	281	84	109
90	77	280	83	115
84	79	294	88	115
84	80	270	82	115
85	79	273	82	115
86	77	279	83	113
84	82	300	82	113
84	79	269	84	115
84	81	274	88	114
85	80	309	85	110
83	88	317	83	110
84	73	327	83	112
83	79	325	83	115
84	80	313	84	106
88	82	348	84	110
83	87	302	83	126
83	88	308	82	115
83	80	319	83	115
82	81	318	81	116
83	74	302	81	111
83	86	304	83	114
90	81	323	82	111
90	72	332	89	122
88	72	313	82	112
86	78	301	81	115
87	78	311	82	110
88	85	330	81	107
86	75	352	81	107
87	81	304	82	113
83	80	313	88	109
82	79	397	81	115
84	77	365	81	109
88	80	354	81	109
83	78	349	80	115
88	78	397	80	145
82	76	340	81	110
83	75	343	87	129
81	78	357	82	107
91	80	368	81	111
90	76	352	80	113
83	72	339	81	115
84	72	370	90	107
83	78	364	80	106
82	79	353	87	112
81	71	352	79	115
82	87	339	81	112
82	81	366	79	108
81	82	340	80	115
82	80	341	74	112
81	81	340	80	112
82	80	405	85	115
82	73	397	75	139
80	80	390	80	107
82	77	388	79	106
81	81	427	74	115
83	79	407	74	114
81	78	383	79	117
82	79	397	85	115
83	79	399	78	115
82	79	396	79	111
82	78	395	78	115
122	72	389	79	116
83	79	402	79	114
83	79	384	79	114
82	79	386	85	108
81	78	385	79	114
97	81	414	79	116
81	81	396	79	113
83	81	425	78	114
81	77	387	94	106
83	95	468	79	113
81	78	427	117	114
81	80	476	80	113
82	78	429	80	108
87	81	508	80	109
82	73	414	79	107
82	76	463	78	115
81	80	426	80	107
82	88	510	80	109
82	79	408	79	117
81	79	412	79	115
88	78	410	80	114
82	78	421	79	114
81	70	411	80	118
81	80	408	81	115
81	80	415	80	116
81	73	431	80	121
81	73	400	79	112
86	77	408	78	113
81	78	403	79	109
81	77	455	79	108
81	75	468	80	108
81	81	454	84	105
84	79	454	78	110
82	80	479	79	115
81	78	443	79	110
81	81	449	78	111
82	80	453	91	115
82	79	548	80	107
81	78	504	80	141
86	77	448	79	135
81	80	459	78	108
81	79	472	79	147
82	77	460	78	107
80	71	437	79	115
80	75	455	74	107
81	78	480	85	116
81	80	466	79	114
87	72	451	78	115
81	80	455	80	107
81	80	487	79	110
82	80	490	79	115
81	81	491	74	113
