hello
Results for create_user():
	Mean: 71.4615
	Standard Deviation: 5.874910144582698
	Variance: 34.51456920692069
	Coefficient of Variation: 0.08221084282561515

Results for follow():
	Mean: 71.3516
	Standard Deviation: 5.532218179338047
	Variance: 30.605437983798378
	Coefficient of Variation: 0.07753460580194482

Results for post_tweet():
	Mean: 780.4039
	Standard Deviation: 87.99489118623585
	Variance: 7743.1008748774875
	Coefficient of Variation: 0.11275557590913608

Results for unfollow():
	Mean: 70.6124
	Standard Deviation: 5.5956677340366605
	Variance: 31.311497389738975
	Coefficient of Variation: 0.07924483141823052

Results for delete_user():
	Mean: 96.0533
	Standard Deviation: 6.627280829655517
	Variance: 43.92085119511951
	Coefficient of Variation: 0.06899586822790593

create_user	follow	post_tweet	unfollow	delete_user
215	163	281	136	261
91	77	148	75	113
98	71	140	70	105
86	72	141	76	104
86	70	138	74	105
79	77	128	69	104
80	71	123	76	104
84	71	134	69	109
88	71	134	75	105
80	85	124	72	105
80	76	123	69	103
80	84	124	71	103
80	85	123	68	103
80	86	124	75	109
80	85	124	73	104
87	85	122	70	115
80	102	136	73	106
81	71	123	68	105
80	70	123	81	122
80	70	123	73	158
81	70	226	69	104
81	70	176	79	103
81	69	171	69	102
80	70	168	74	104
90	70	171	75	103
81	70	168	69	131
82	70	179	72	104
81	70	170	69	104
87	70	181	75	104
81	70	167	73	103
86	69	165	68	102
81	76	164	72	104
80	70	164	68	102
80	71	203	74	103
90	72	164	72	103
87	71	164	71	104
82	72	186	74	144
81	70	171	68	103
83	75	164	74	115
78	71	164	73	105
78	70	210	71	102
78	71	213	68	102
84	71	219	68	156
75	70	197	78	102
75	71	201	71	102
75	70	198	71	102
75	72	197	68	101
75	70	196	68	101
75	71	215	80	117
76	70	197	72	101
75	70	196	72	101
75	71	195	73	102
74	71	222	71	102
81	76	197	78	101
75	71	195	77	103
74	71	197	73	102
76	80	217	72	101
75	71	210	72	102
75	70	198	78	102
74	70	201	71	101
75	70	239	71	102
75	70	235	71	101
75	70	235	71	112
75	85	239	72	102
75	71	236	70	101
87	70	232	71	102
75	69	237	72	104
75	70	232	71	101
82	78	241	71	102
75	69	238	70	100
