Results for create_user():
	Mean: 100.28892889288929
	Standard Deviation: 8.138063286658308
	Variance: 66.22807405765582
	Coefficient of Variation: 0.08114617811254055

Results for follow():
	Mean: 98.26282628262827
	Standard Deviation: 6.5063504187893
	Variance: 42.332595772079706
	Coefficient of Variation: 0.06621375208642404

Results for post_tweet():
	Mean: 768.8813881388139
	Standard Deviation: 75.38317622178519
	Variance: 5682.62325728472
	Coefficient of Variation: 0.0980426596152377

Results for unfollow():
	Mean: 97.58655865586559
	Standard Deviation: 69.33986361888572
	Variance: 4808.016686685672
	Coefficient of Variation: 0.7105472779648833

Results for delete_user():
	Mean: 126.75037503750374
	Standard Deviation: 7.259106869021017
	Variance: 52.69463253586811
	Coefficient of Variation: 0.05727089065316883

create_user	follow	post_tweet	unfollow	delete_user
190.0	104.0	192.0	102.0	134.0
156.0	98.0	192.0	100.0	132.0
161.0	98.0	185.0	104.0	133.0
154.0	98.0	185.0	100.0	133.0
120.0	97.0	149.0	97.0	139.0
119.0	135.0	149.0	99.0	133.0
124.0	110.0	147.0	99.0	131.0
119.0	99.0	162.0	99.0	133.0
118.0	98.0	153.0	97.0	133.0
118.0	98.0	148.0	96.0	132.0
119.0	99.0	147.0	98.0	133.0
117.0	97.0	145.0	98.0	139.0
118.0	97.0	147.0	106.0	131.0
118.0	96.0	147.0	108.0	131.0
124.0	105.0	154.0	98.0	132.0
119.0	99.0	155.0	100.0	131.0
115.0	97.0	145.0	99.0	131.0
115.0	98.0	146.0	99.0	130.0
114.0	97.0	146.0	99.0	131.0
115.0	98.0	241.0	95.0	145.0
114.0	98.0	235.0	98.0	133.0
115.0	97.0	213.0	102.0	132.0
140.0	97.0	199.0	99.0	130.0
117.0	97.0	220.0	97.0	131.0
115.0	100.0	198.0	95.0	131.0
114.0	100.0	191.0	98.0	132.0
113.0	98.0	190.0	97.0	138.0
114.0	98.0	208.0	98.0	130.0
114.0	99.0	190.0	98.0	131.0
115.0	98.0	197.0	95.0	131.0
119.0	102.0	191.0	98.0	131.0
127.0	96.0	190.0	104.0	130.0
117.0	97.0	189.0	98.0	130.0
115.0	103.0	190.0	97.0	137.0
120.0	97.0	196.0	96.0	131.0
118.0	97.0	205.0	99.0	131.0
117.0	98.0	189.0	97.0	130.0
119.0	104.0	189.0	97.0	130.0
127.0	97.0	189.0	98.0	131.0
115.0	98.0	275.0	95.0	131.0
114.0	98.0	240.0	99.0	138.0
118.0	96.0	234.0	135.0	130.0
118.0	97.0	230.0	98.0	129.0
119.0	100.0	246.0	98.0	130.0
113.0	142.0	227.0	96.0	131.0
113.0	100.0	217.0	98.0	131.0
122.0	98.0	225.0	97.0	129.0
120.0	98.0	236.0	97.0	135.0
117.0	98.0	225.0	96.0	140.0
113.0	98.0	222.0	95.0	133.0
112.0	98.0	221.0	104.0	130.0
117.0	97.0	237.0	108.0	130.0
118.0	104.0	234.0	97.0	129.0
118.0	97.0	227.0	97.0	128.0
113.0	98.0	221.0	96.0	129.0
120.0	98.0	230.0	97.0	136.0
118.0	96.0	309.0	96.0	129.0
118.0	97.0	226.0	96.0	128.0
119.0	97.0	224.0	96.0	129.0
113.0	97.0	262.0	96.0	129.0
113.0	97.0	266.0	102.0	129.0
117.0	106.0	267.0	95.0	128.0
118.0	97.0	254.0	95.0	134.0
125.0	103.0	265.0	123.0	129.0
134.0	96.0	257.0	96.0	129.0
113.0	96.0	255.0	96.0	130.0
118.0	95.0	253.0	96.0	143.0
119.0	116.0	265.0	95.0	128.0
118.0	101.0	255.0	96.0	129.0
113.0	110.0	256.0	102.0	135.0
113.0	114.0	254.0	96.0	129.0
119.0	110.0	281.0	95.0	128.0
113.0	110.0	256.0	96.0	128.0
112.0	97.0	255.0	95.0	129.0
113.0	96.0	256.0	96.0	130.0
112.0	99.0	267.0	96.0	148.0
112.0	101.0	255.0	95.0	135.0
112.0	98.0	254.0	95.0	140.0
112.0	97.0	259.0	95.0	131.0
120.0	98.0	296.0	101.0	129.0
111.0	144.0	295.0	95.0	130.0
110.0	114.0	298.0	95.0	130.0
110.0	131.0	295.0	95.0	129.0
111.0	100.0	305.0	95.0	129.0
111.0	106.0	291.0	99.0	132.0
110.0	100.0	307.0	96.0	128.0
110.0	97.0	321.0	95.0	129.0
110.0	98.0	292.0	96.0	127.0
117.0	136.0	360.0	96.0	130.0
111.0	98.0	291.0	104.0	130.0
111.0	98.0	291.0	106.0	129.0
110.0	97.0	346.0	97.0	135.0
110.0	98.0	297.0	97.0	127.0
110.0	97.0	288.0	95.0	129.0
110.0	98.0	295.0	99.0	130.0
110.0	98.0	328.0	96.0	131.0
116.0	97.0	288.0	96.0	129.0
121.0	121.0	288.0	96.0	128.0
107.0	111.0	342.0	102.0	136.0
108.0	97.0	331.0	98.0	129.0
107.0	97.0	328.0	95.0	130.0
107.0	96.0	382.0	95.0	130.0
107.0	96.0	323.0	96.0	127.0
106.0	97.0	379.0	95.0	129.0
106.0	96.0	330.0	98.0	130.0
114.0	96.0	322.0	95.0	135.0
106.0	96.0	328.0	95.0	140.0
107.0	136.0	325.0	95.0	129.0
106.0	96.0	322.0	101.0	130.0
106.0	97.0	332.0	98.0	130.0
107.0	96.0	334.0	96.0	130.0
105.0	95.0	325.0	94.0	129.0
107.0	96.0	331.0	95.0	128.0
106.0	97.0	322.0	95.0	136.0
118.0	98.0	325.0	98.0	130.0
107.0	98.0	342.0	95.0	130.0
106.0	135.0	322.0	95.0	129.0
107.0	107.0	322.0	95.0	127.0
107.0	99.0	331.0	102.0	129.0
107.0	98.0	374.0	98.0	129.0
107.0	98.0	365.0	96.0	169.0
107.0	97.0	386.0	94.0	128.0
113.0	97.0	361.0	96.0	127.0
107.0	97.0	390.0	94.0	129.0
107.0	97.0	361.0	97.0	129.0
107.0	102.0	359.0	95.0	130.0
106.0	95.0	366.0	94.0	129.0
107.0	97.0	361.0	100.0	133.0
107.0	96.0	357.0	95.0	129.0
107.0	96.0	366.0	109.0	130.0
107.0	97.0	357.0	97.0	129.0
113.0	95.0	359.0	95.0	128.0
117.0	96.0	375.0	96.0	127.0
107.0	96.0	358.0	96.0	128.0
107.0	98.0	366.0	97.0	129.0
107.0	106.0	369.0	95.0	140.0
107.0	97.0	357.0	95.0	130.0
107.0	98.0	364.0	102.0	127.0
106.0	96.0	357.0	96.0	130.0
107.0	97.0	407.0	98.0	129.0
113.0	98.0	402.0	95.0	130.0
107.0	96.0	393.0	95.0	127.0
106.0	96.0	409.0	95.0	132.0
105.0	97.0	414.0	95.0	129.0
107.0	97.0	419.0	97.0	129.0
107.0	103.0	406.0	95.0	130.0
106.0	95.0	392.0	94.0	128.0
107.0	98.0	425.0	101.0	126.0
107.0	96.0	393.0	94.0	129.0
118.0	97.0	401.0	97.0	136.0
111.0	96.0	393.0	96.0	129.0
111.0	95.0	395.0	94.0	129.0
111.0	96.0	412.0	97.0	126.0
111.0	97.0	395.0	95.0	129.0
107.0	104.0	402.0	97.0	129.0
106.0	113.0	402.0	96.0	129.0
106.0	100.0	392.0	94.0	133.0
113.0	98.0	399.0	101.0	129.0
107.0	97.0	392.0	95.0	129.0
108.0	99.0	443.0	98.0	128.0
106.0	98.0	433.0	95.0	129.0
106.0	97.0	437.0	109.0	129.0
107.0	97.0	437.0	95.0	126.0
107.0	99.0	438.0	94.0	128.0
107.0	104.0	436.0	97.0	135.0
106.0	98.0	428.0	96.0	140.0
113.0	97.0	432.0	101.0	130.0
117.0	105.0	450.0	105.0	129.0
107.0	98.0	434.0	97.0	129.0
108.0	98.0	429.0	99.0	130.0
107.0	97.0	433.0	96.0	130.0
107.0	95.0	443.0	95.0	134.0
104.0	96.0	427.0	96.0	128.0
107.0	102.0	434.0	95.0	129.0
107.0	99.0	430.0	95.0	130.0
113.0	98.0	442.0	96.0	130.0
106.0	97.0	426.0	101.0	128.0
104.0	97.0	433.0	96.0	129.0
107.0	97.0	427.0	95.0	135.0
106.0	97.0	485.0	96.0	129.0
106.0	98.0	476.0	95.0	129.0
106.0	97.0	471.0	95.0	129.0
104.0	96.0	460.0	95.0	128.0
107.0	105.0	480.0	94.0	129.0
113.0	97.0	469.0	96.0	130.0
107.0	96.0	462.0	95.0	130.0
106.0	96.0	467.0	101.0	134.0
104.0	98.0	482.0	95.0	129.0
107.0	96.0	482.0	95.0	128.0
106.0	96.0	466.0	96.0	129.0
107.0	98.0	469.0	95.0	129.0
105.0	95.0	462.0	95.0	129.0
104.0	95.0	467.0	95.0	128.0
113.0	103.0	460.0	95.0	144.0
106.0	109.0	472.0	95.0	140.0
108.0	100.0	471.0	100.0	131.0
106.0	98.0	478.0	97.0	130.0
105.0	99.0	460.0	95.0	129.0
106.0	97.0	469.0	96.0	130.0
108.0	97.0	515.0	96.0	129.0
107.0	97.0	506.0	95.0	135.0
112.0	96.0	499.0	94.0	129.0
106.0	103.0	508.0	95.0	129.0
111.0	98.0	504.0	95.0	128.0
108.0	96.0	519.0	95.0	129.0
108.0	96.0	497.0	101.0	128.0
106.0	95.0	500.0	103.0	128.0
105.0	97.0	518.0	99.0	129.0
108.0	96.0	503.0	95.0	136.0
107.0	96.0	498.0	96.0	129.0
114.0	98.0	502.0	96.0	130.0
106.0	95.0	496.0	95.0	128.0
124.0	102.0	498.0	94.0	130.0
122.0	96.0	499.0	94.0	129.0
106.0	98.0	506.0	95.0	129.0
106.0	98.0	504.0	101.0	136.0
105.0	98.0	533.0	95.0	129.0
104.0	97.0	447.0	96.0	128.0
130.0	97.0	503.0	95.0	128.0
153.0	97.0	545.0	95.0	129.0
107.0	98.0	553.0	96.0	130.0
105.0	103.0	533.0	94.0	129.0
105.0	96.0	489.0	94.0	135.0
106.0	97.0	546.0	95.0	139.0
107.0	96.0	535.0	95.0	131.0
107.0	96.0	537.0	101.0	130.0
107.0	96.0	528.0	95.0	129.0
162.0	97.0	520.0	95.0	131.0
108.0	96.0	530.0	95.0	129.0
106.0	96.0	541.0	96.0	129.0
106.0	98.0	530.0	95.0	131.0
106.0	103.0	536.0	95.0	129.0
104.0	105.0	477.0	95.0	129.0
106.0	98.0	537.0	95.0	129.0
107.0	100.0	533.0	95.0	128.0
148.0	106.0	522.0	102.0	130.0
117.0	99.0	529.0	95.0	129.0
105.0	98.0	483.0	95.0	135.0
108.0	97.0	531.0	96.0	129.0
107.0	96.0	593.0	95.0	129.0
106.0	103.0	527.0	96.0	129.0
106.0	98.0	567.0	94.0	128.0
104.0	96.0	535.0	95.0	130.0
106.0	97.0	573.0	95.0	130.0
149.0	97.0	575.0	99.0	136.0
107.0	96.0	513.0	97.0	130.0
106.0	95.0	568.0	107.0	129.0
104.0	98.0	552.0	96.0	129.0
106.0	96.0	566.0	97.0	129.0
106.0	96.0	589.0	96.0	129.0
106.0	104.0	512.0	96.0	129.0
106.0	95.0	575.0	95.0	128.0
123.0	96.0	509.0	95.0	139.0
111.0	96.0	573.0	95.0	132.0
147.0	99.0	569.0	102.0	131.0
124.0	98.0	516.0	95.0	130.0
104.0	97.0	570.0	94.0	129.0
101.0	97.0	519.0	96.0	130.0
104.0	97.0	573.0	96.0	130.0
104.0	97.0	615.0	95.0	136.0
103.0	103.0	553.0	96.0	129.0
101.0	97.0	602.0	94.0	129.0
138.0	96.0	545.0	95.0	129.0
102.0	96.0	628.0	95.0	129.0
108.0	97.0	605.0	101.0	129.0
106.0	96.0	550.0	95.0	128.0
106.0	96.0	598.0	94.0	135.0
106.0	97.0	579.0	95.0	128.0
105.0	96.0	610.0	95.0	129.0
102.0	102.0	603.0	95.0	130.0
102.0	99.0	559.0	95.0	130.0
139.0	106.0	601.0	95.0	128.0
99.0	98.0	545.0	95.0	128.0
102.0	96.0	609.0	95.0	135.0
103.0	100.0	608.0	101.0	130.0
102.0	99.0	621.0	95.0	129.0
102.0	97.0	597.0	94.0	128.0
99.0	98.0	557.0	95.0	128.0
102.0	97.0	613.0	96.0	129.0
102.0	104.0	653.0	95.0	129.0
108.0	98.0	584.0	95.0	128.0
102.0	96.0	647.0	94.0	135.0
99.0	96.0	573.0	95.0	139.0
102.0	97.0	669.0	95.0	130.0
103.0	96.0	642.0	101.0	130.0
102.0	95.0	578.0	106.0	130.0
101.0	95.0	641.0	96.0	129.0
99.0	96.0	583.0	95.0	128.0
102.0	95.0	644.0	96.0	135.0
109.0	102.0	647.0	96.0	129.0
115.0	98.0	613.0	95.0	129.0
104.0	95.0	710.0	95.0	129.0
100.0	96.0	593.0	95.0	129.0
102.0	96.0	664.0	101.0	129.0
103.0	106.0	698.0	96.0	129.0
102.0	98.0	655.0	95.0	136.0
101.0	97.0	640.0	95.0	129.0
100.0	97.0	624.0	95.0	128.0
108.0	103.0	657.0	96.0	129.0
103.0	97.0	693.0	95.0	130.0
102.0	96.0	645.0	95.0	129.0
101.0	97.0	717.0	95.0	128.0
100.0	96.0	614.0	95.0	128.0
102.0	97.0	724.0	101.0	136.0
102.0	96.0	681.0	96.0	130.0
102.0	96.0	599.0	95.0	129.0
101.0	95.0	673.0	94.0	128.0
106.0	104.0	618.0	95.0	129.0
102.0	103.0	677.0	95.0	129.0
102.0	115.0	682.0	96.0	128.0
101.0	99.0	607.0	95.0	136.0
101.0	96.0	671.0	95.0	139.0
99.0	96.0	607.0	95.0	131.0
101.0	97.0	671.0	103.0	130.0
102.0	99.0	687.0	96.0	129.0
102.0	105.0	657.0	94.0	130.0
101.0	97.0	674.0	95.0	130.0
106.0	135.0	598.0	95.0	135.0
101.0	97.0	678.0	95.0	129.0
102.0	98.0	720.0	95.0	129.0
102.0	98.0	645.0	96.0	130.0
101.0	97.0	718.0	94.0	129.0
99.0	97.0	666.0	95.0	129.0
102.0	97.0	727.0	102.0	129.0
102.0	96.0	719.0	106.0	129.0
102.0	96.0	691.0	97.0	135.0
108.0	95.0	704.0	94.0	128.0
121.0	99.0	649.0	95.0	130.0
103.0	96.0	718.0	96.0	129.0
103.0	96.0	719.0	96.0	129.0
102.0	98.0	632.0	95.0	129.0
103.0	94.0	724.0	94.0	129.0
100.0	96.0	634.0	100.0	135.0
102.0	95.0	710.0	96.0	129.0
102.0	98.0	720.0	95.0	128.0
109.0	98.0	682.0	95.0	147.0
102.0	103.0	716.0	94.0	142.0
100.0	97.0	647.0	94.0	128.0
102.0	97.0	719.0	96.0	129.0
103.0	97.0	763.0	96.0	136.0
103.0	96.0	672.0	95.0	141.0
102.0	96.0	758.0	95.0	130.0
100.0	98.0	693.0	101.0	130.0
102.0	96.0	768.0	96.0	130.0
110.0	97.0	749.0	95.0	130.0
102.0	96.0	678.0	96.0	129.0
102.0	101.0	740.0	94.0	135.0
99.0	111.0	671.0	94.0	130.0
102.0	98.0	750.0	95.0	128.0
102.0	97.0	750.0	95.0	129.0
102.0	99.0	670.0	95.0	130.0
101.0	96.0	735.0	94.0	129.0
99.0	97.0	667.0	101.0	132.0
107.0	95.0	679.0	95.0	129.0
102.0	98.0	749.0	95.0	135.0
103.0	104.0	716.0	96.0	129.0
101.0	97.0	743.0	95.0	129.0
99.0	98.0	665.0	95.0	130.0
102.0	96.0	658.0	94.0	128.0
102.0	96.0	810.0	94.0	129.0
102.0	97.0	699.0	96.0	129.0
101.0	96.0	786.0	94.0	166.0
99.0	96.0	697.0	133.0	129.0
107.0	97.0	713.0	118.0	128.0
112.0	96.0	804.0	97.0	129.0
102.0	102.0	702.0	96.0	129.0
102.0	95.0	774.0	95.0	128.0
100.0	98.0	708.0	96.0	129.0
