Results for create_user():
	Mean: 95.40964096409641
	Standard Deviation: 9.258474762729147
	Variance: 85.71935493209253
	Coefficient of Variation: 0.09703919508735184

Results for follow():
	Mean: 96.13261326132613
	Standard Deviation: 8.505391455912646
	Variance: 72.34168381831182
	Coefficient of Variation: 0.08847560850958724

Results for post_tweet():
	Mean: 768.045204520452
	Standard Deviation: 80.03666741176667
	Variance: 6405.868130381752
	Coefficient of Variation: 0.10420827698773218

Results for unfollow():
	Mean: 95.08800880088009
	Standard Deviation: 27.104150645647742
	Variance: 734.6349822219669
	Coefficient of Variation: 0.28504278286450857

Results for delete_user():
	Mean: 118.58955895589558
	Standard Deviation: 7.083769544083876
	Variance: 50.179790953690286
	Coefficient of Variation: 0.05973350104724133

create_user	follow	post_tweet	unfollow	delete_user
135.0	102.0	153.0	100.0	128.0
116.0	97.0	148.0	94.0	128.0
122.0	100.0	145.0	92.0	128.0
116.0	95.0	166.0	92.0	126.0
114.0	95.0	145.0	92.0	140.0
114.0	95.0	144.0	92.0	127.0
118.0	93.0	144.0	91.0	127.0
122.0	96.0	148.0	92.0	127.0
118.0	94.0	147.0	90.0	126.0
118.0	96.0	184.0	92.0	127.0
118.0	95.0	158.0	92.0	125.0
120.0	93.0	146.0	98.0	132.0
136.0	101.0	145.0	92.0	127.0
118.0	94.0	145.0	90.0	125.0
117.0	93.0	145.0	92.0	127.0
119.0	101.0	191.0	92.0	126.0
117.0	93.0	145.0	92.0	126.0
118.0	96.0	144.0	91.0	126.0
122.0	94.0	144.0	91.0	126.0
117.0	95.0	249.0	91.0	131.0
116.0	95.0	233.0	91.0	126.0
115.0	95.0	193.0	97.0	126.0
116.0	99.0	189.0	92.0	126.0
136.0	103.0	196.0	91.0	125.0
117.0	98.0	190.0	91.0	126.0
115.0	98.0	228.0	91.0	126.0
121.0	95.0	188.0	91.0	131.0
116.0	95.0	195.0	90.0	127.0
116.0	95.0	190.0	90.0	126.0
121.0	95.0	189.0	91.0	125.0
115.0	95.0	228.0	91.0	126.0
115.0	95.0	202.0	97.0	125.0
116.0	99.0	187.0	100.0	125.0
116.0	95.0	186.0	92.0	126.0
116.0	95.0	185.0	91.0	131.0
117.0	96.0	238.0	92.0	130.0
116.0	95.0	187.0	91.0	124.0
115.0	96.0	186.0	90.0	122.0
115.0	96.0	186.0	92.0	122.0
115.0	95.0	232.0	92.0	124.0
117.0	95.0	267.0	91.0	123.0
117.0	95.0	228.0	96.0	124.0
116.0	99.0	226.0	92.0	125.0
140.0	93.0	229.0	91.0	121.0
150.0	93.0	264.0	91.0	123.0
138.0	93.0	227.0	91.0	122.0
137.0	94.0	223.0	91.0	123.0
136.0	94.0	227.0	91.0	123.0
136.0	95.0	270.0	91.0	122.0
127.0	95.0	222.0	91.0	129.0
140.0	94.0	215.0	91.0	124.0
137.0	95.0	222.0	91.0	122.0
140.0	99.0	255.0	97.0	123.0
135.0	94.0	215.0	91.0	123.0
126.0	94.0	214.0	91.0	139.0
134.0	101.0	223.0	90.0	124.0
137.0	96.0	239.0	91.0	123.0
141.0	94.0	214.0	90.0	140.0
136.0	95.0	216.0	91.0	123.0
127.0	95.0	257.0	91.0	122.0
137.0	96.0	277.0	91.0	123.0
124.0	93.0	252.0	91.0	124.0
125.0	96.0	249.0	96.0	143.0
112.0	104.0	251.0	92.0	124.0
131.0	93.0	288.0	90.0	129.0
111.0	93.0	262.0	91.0	135.0
110.0	93.0	250.0	91.0	124.0
121.0	94.0	253.0	91.0	123.0
111.0	93.0	287.0	91.0	123.0
111.0	93.0	249.0	92.0	123.0
110.0	94.0	250.0	91.0	122.0
110.0	97.0	258.0	90.0	122.0
111.0	96.0	287.0	97.0	129.0
124.0	93.0	249.0	102.0	124.0
148.0	95.0	249.0	93.0	122.0
110.0	95.0	292.0	91.0	122.0
107.0	95.0	249.0	91.0	123.0
106.0	96.0	250.0	91.0	122.0
107.0	94.0	250.0	92.0	123.0
107.0	95.0	340.0	91.0	122.0
107.0	94.0	289.0	91.0	129.0
111.0	101.0	286.0	90.0	123.0
105.0	95.0	323.0	96.0	123.0
104.0	93.0	303.0	92.0	122.0
119.0	100.0	283.0	91.0	123.0
105.0	93.0	307.0	91.0	123.0
105.0	96.0	297.0	91.0	122.0
104.0	93.0	287.0	90.0	129.0
104.0	95.0	285.0	91.0	123.0
104.0	96.0	321.0	91.0	124.0
111.0	96.0	283.0	91.0	122.0
105.0	100.0	287.0	91.0	123.0
104.0	97.0	334.0	90.0	122.0
104.0	96.0	287.0	97.0	123.0
104.0	96.0	284.0	90.0	123.0
104.0	96.0	333.0	91.0	129.0
105.0	96.0	284.0	91.0	133.0
105.0	96.0	284.0	91.0	125.0
104.0	96.0	284.0	91.0	123.0
115.0	95.0	364.0	91.0	122.0
105.0	93.0	321.0	90.0	122.0
104.0	101.0	321.0	91.0	122.0
103.0	103.0	333.0	91.0	123.0
104.0	96.0	338.0	96.0	128.0
104.0	92.0	358.0	91.0	121.0
103.0	91.0	331.0	90.0	123.0
104.0	91.0	318.0	91.0	122.0
104.0	93.0	363.0	90.0	122.0
109.0	91.0	318.0	90.0	122.0
117.0	91.0	317.0	90.0	122.0
106.0	91.0	348.0	91.0	128.0
105.0	101.0	345.0	91.0	123.0
104.0	95.0	334.0	91.0	123.0
104.0	91.0	342.0	97.0	123.0
104.0	95.0	335.0	101.0	122.0
105.0	93.0	346.0	92.0	123.0
104.0	95.0	354.0	91.0	123.0
142.0	93.0	337.0	91.0	123.0
105.0	95.0	334.0	91.0	128.0
104.0	92.0	392.0	91.0	123.0
104.0	94.0	376.0	91.0	122.0
104.0	101.0	382.0	91.0	123.0
108.0	93.0	373.0	91.0	123.0
104.0	101.0	386.0	96.0	123.0
104.0	94.0	381.0	92.0	122.0
128.0	92.0	354.0	91.0	122.0
118.0	93.0	355.0	91.0	135.0
105.0	93.0	376.0	91.0	126.0
104.0	93.0	355.0	91.0	122.0
104.0	94.0	360.0	90.0	124.0
104.0	92.0	354.0	91.0	123.0
103.0	100.0	356.0	90.0	123.0
104.0	94.0	360.0	91.0	122.0
104.0	92.0	354.0	91.0	122.0
141.0	95.0	353.0	129.0	137.0
105.0	96.0	368.0	91.0	123.0
105.0	93.0	353.0	91.0	123.0
104.0	95.0	353.0	91.0	124.0
103.0	93.0	371.0	92.0	124.0
104.0	95.0	402.0	91.0	123.0
104.0	94.0	400.0	91.0	123.0
104.0	99.0	392.0	91.0	129.0
103.0	103.0	390.0	91.0	123.0
141.0	96.0	409.0	90.0	122.0
116.0	95.0	389.0	97.0	123.0
110.0	93.0	397.0	90.0	123.0
103.0	93.0	455.0	91.0	123.0
104.0	95.0	419.0	91.0	123.0
103.0	94.0	402.0	91.0	123.0
103.0	94.0	391.0	92.0	129.0
104.0	94.0	396.0	91.0	123.0
104.0	98.0	393.0	90.0	123.0
120.0	92.0	396.0	91.0	123.0
103.0	95.0	389.0	90.0	124.0
105.0	93.0	389.0	97.0	124.0
104.0	95.0	402.0	105.0	122.0
104.0	96.0	390.0	92.0	123.0
104.0	94.0	397.0	91.0	134.0
104.0	95.0	402.0	91.0	125.0
104.0	94.0	437.0	92.0	123.0
129.0	95.0	435.0	92.0	123.0
104.0	100.0	427.0	92.0	123.0
104.0	100.0	431.0	91.0	123.0
104.0	93.0	432.0	91.0	122.0
104.0	94.0	432.0	97.0	129.0
104.0	95.0	425.0	91.0	122.0
103.0	93.0	424.0	93.0	123.0
104.0	96.0	503.0	91.0	122.0
103.0	95.0	427.0	90.0	122.0
146.0	100.0	430.0	91.0	123.0
104.0	95.0	424.0	90.0	123.0
104.0	94.0	435.0	91.0	123.0
103.0	94.0	425.0	91.0	129.0
105.0	94.0	431.0	91.0	122.0
